sample_id,problem,set_type,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2,log_energy
1179,purity_recovery,near,0.518039482,0.573130166,1.903391213,54.12468061,12.44964257,20.43460458,0.794983422,0.851325972,0.28635241,1497.210946,3.175282993549265
1192,purity_recovery,near,0.516841233,0.687666068,1.696567919,47.74801876,12.89098441,23.11468231,0.669012773,0.863054196,0.227497515,1730.630233,3.2382042862912894
1207,purity_recovery,near,0.738671986,0.635012447,1.943880045,54.10398918,14.00794966,23.70026359,0.652582444,0.882294422,0.324972655,1466.101731,3.166164106511837
1215,purity_recovery,near,0.580841505,0.790073531,1.646829959,51.62527518,14.72504346,24.85792026,0.412606772,0.90104016,0.158430905,2506.312916,3.3990352922001326
1226,purity_recovery,near,0.634032965,0.815723381,1.858894702,53.30004143,10.90696742,21.06086716,0.396444235,0.909469985,0.171999785,2687.415543,3.429334824631417
1230,purity_recovery,near,0.597875114,0.377251939,1.708051249,37.17661294,14.39691738,24.76812801,0.913056743,0.673580722,0.335127821,1080.535889,3.033639196148288
1237,purity_recovery,near,0.561172934,0.778594306,1.635540178,51.60849551,10.12840278,22.9577048,0.446575946,0.895828145,0.166003819,2450.838195,3.3893146399594425
1240,purity_recovery,near,0.558916473,0.433158054,1.772786824,49.0063774,14.83127727,23.34556867,0.885135053,0.774752434,0.329183014,1172.108566,3.0689678398655613
1245,purity_recovery,near,0.542382703,0.545827831,1.941570173,43.97039912,6.190137018,19.1834915,0.855336592,0.78754288,0.304953032,1477.094817,3.1694083742409993
1254,purity_recovery,near,0.79782372,0.497340287,1.863838281,51.54825953,6.881474019,22.52763038,0.807609679,0.826309837,0.422593656,1155.148828,3.0626379418170933
1257,purity_recovery,near,0.580595532,0.73264993,1.995177622,53.9888105,7.512710801,16.94867708,0.575709379,0.894801548,0.238125428,2068.538388,3.3156635849568747
1265,purity_recovery,near,0.523339735,0.583968858,1.864024026,47.16115268,14.96813471,22.72578023,0.810596591,0.829644274,0.282256556,1437.49255,3.157605602577477
1266,purity_recovery,near,0.597249868,0.606273074,1.764435255,51.74569779,6.708775759,20.51808029,0.742063867,0.853072811,0.298109547,1490.467705,3.173322570310117
1274,purity_recovery,near,0.576227983,0.583483846,1.91498684,53.09727487,12.85377007,19.31233161,0.749946698,0.857917183,0.3037532,1460.115999,3.1643873597052745
1275,purity_recovery,near,0.970578216,0.763169325,1.697700773,50.62061898,6.285101262,24.89552353,0.428381694,0.894758239,0.262841797,1914.507168,3.2820569967046094
