model_name,model_label,subset,target,n,rmse,mae,r2,normalized_rmse
ridge,Ridge,test_pareto_focus,energy_kJ_kgCO2,32,137.62471252828433,113.09085195742772,0.888724054168091,0.10286112851603592
ridge,Ridge,test_pareto_focus,log_energy,32,0.0542171662456099,0.04130681462793166,0.7723816226868359,0.14917746116502217
ridge,Ridge,train_global,recovery,1366,0.03475301617596959,0.02776213302836744,0.9647429591902836,0.04590323400155266
ridge,Ridge,train_global,purity,1366,0.010466592347227226,0.008172091863152976,0.9602348053769418,0.037138529549496445
ridge,Ridge,train_global,productivity_mol_h_kg,1366,0.025936232675699215,0.019489863105322303,0.9229050967652255,0.05519554563109962
ridge,Ridge,train_global,energy_kJ_kgCO2,1366,238.0932738573944,151.62428603559957,0.8220122032948942,0.09248998634124744
ridge,Ridge,train_global,log_energy,1366,0.05020404324070118,0.03850910713159987,0.8698403947658275,0.08628029678911053
polynomial_ridge,Polynomial ridge,test_global,recovery,342,0.0012498798387802215,0.0008898871168975213,0.9999528633111576,0.0017222663993905422
polynomial_ridge,Polynomial ridge,test_global,purity,342,0.0001254803486806576,8.679302584627887e-05,0.9999939550071932,0.0005058264824019881
polynomial_ridge,Polynomial ridge,test_global,productivity_mol_h_kg,342,0.00042859217983507564,0.0002885033267570421,0.9999783069315937,0.0009493971076266046
polynomial_ridge,Polynomial ridge,test_global,energy_kJ_kgCO2,342,15.735640184109055,8.510706965118155,0.9991669795353303,0.0062131292753815105
polynomial_ridge,Polynomial ridge,test_global,log_energy,342,0.0032711112059559113,0.0022402274247271224,0.9994142981129128,0.0057473514035559165
polynomial_ridge,Polynomial ridge,test_purity_recovery_near,recovery,31,0.002335263349972447,0.001479432806411734,0.9997930160234931,0.004500168683284315
polynomial_ridge,Polynomial ridge,test_purity_recovery_near,purity,31,0.00021405656353822171,0.00013055479829160443,0.9999920498115547,0.0008628879319195475
polynomial_ridge,Polynomial ridge,test_purity_recovery_near,productivity_mol_h_kg,31,0.0008575996226574245,0.0005591184402671301,0.9998639288832242,0.0027143483048384914
polynomial_ridge,Polynomial ridge,test_purity_recovery_near,energy_kJ_kgCO2,31,11.559871621712189,6.555055599459662,0.9992244650575889,0.008639883191512139
polynomial_ridge,Polynomial ridge,test_purity_recovery_near,log_energy,31,0.004508998523236762,0.0022512416119665445,0.9984417088576699,0.012406420303233016
polynomial_ridge,Polynomial ridge,test_productivity_energy_near,recovery,6,0.0046086750639884495,0.003945418848050053,0.2941819900067596,0.2779107970673649
polynomial_ridge,Polynomial ridge,test_productivity_energy_near,purity,6,0.00041803701163560254,0.0003347943863771796,0.9995188886173597,0.008686671081008355
polynomial_ridge,Polynomial ridge,test_productivity_energy_near,productivity_mol_h_kg,6,0.001580096353644632,0.0012538857824700063,0.9975494040178651,0.015420875954275716
polynomial_ridge,Polynomial ridge,test_productivity_energy_near,energy_kJ_kgCO2,6,22.84646266475748,15.149683166029908,0.8670013042428102,0.1412789645679675
polynomial_ridge,Polynomial ridge,test_productivity_energy_near,log_energy,6,0.009308966048019913,0.006032141107342663,0.8580569435885654,0.1463766932166489
polynomial_ridge,Polynomial ridge,test_pareto_focus,recovery,32,0.0023113686586946343,0.0014762813523231128,0.9997970378851491,0.004454122424139098
polynomial_ridge,Polynomial ridge,test_pareto_focus,purity,32,0.0002173190191855976,0.00013589439776968276,0.9999919102020745,0.0008760392857486991
polynomial_ridge,Polynomial ridge,test_pareto_focus,productivity_mol_h_kg,32,0.0008499551211284886,0.0005592619041539263,0.9998628203656746,0.002690153051927692
polynomial_ridge,Polynomial ridge,test_pareto_focus,energy_kJ_kgCO2,32,11.523514060536634,6.673121750437868,0.9992198496334095,0.008612709439764322
polynomial_ridge,Polynomial ridge,test_pareto_focus,log_energy,32,0.004493586277611406,0.002305464061945789,0.9984364208778268,0.012364013814062652
polynomial_ridge,Polynomial ridge,train_global,recovery,1366,0.0010351664901429665,0.0007419986130274866,0.999968718954286,0.0013672910974689761
polynomial_ridge,Polynomial ridge,train_global,purity,1366,0.00010380111009758249,7.45733936311642e-05,0.9999960889218918,0.00036831668481393184
polynomial_ridge,Polynomial ridge,train_global,productivity_mol_h_kg,1366,0.00032315905193324476,0.00023064557771073434,0.9999880313675248,0.0006877228632281861
polynomial_ridge,Polynomial ridge,train_global,energy_kJ_kgCO2,1366,12.821923180068161,6.849366907478866,0.9994838186434352,0.004980818989885959
