sample_id,status,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2
1389,success,0.829615818,0.72992339,1.780241456,46.73408117,7.595975918,21.81333688,0.538843642,0.878140262,0.289857594,1684.387568
1390,success,0.80466985,0.641892159,1.428445576,38.20440542,10.74967959,15.57704118,0.433277242,0.826724099,0.240347864,1681.549279
1391,success,0.83619205,0.550049938,1.200954939,35.10022992,12.30381779,17.71598987,0.467710112,0.777741469,0.258714365,1375.722438
1392,success,0.880448963,0.77629021,1.61322711,48.36546984,8.791693874,21.76281515,0.349354206,0.891506682,0.202437441,2295.202741
1393,success,0.860013566,0.54604341,1.553040432,48.88633082,13.57030897,18.74423685,0.550557547,0.847528307,0.330950381,1320.117174
1394,success,0.564101302,0.609727428,1.483518543,36.00277039,11.19905244,17.54334166,0.662694687,0.790312049,0.247661779,1458.672739
1395,success,0.843136358,0.713650469,1.463493273,35.84955648,13.50718275,24.87302695,0.523570561,0.831959016,0.266733995,1480.53913
1396,success,0.617134628,0.479571248,1.067777919,51.71281531,12.00830184,17.76819214,0.489476296,0.819061092,0.214650197,1425.386039
1397,success,0.701503242,0.435437273,1.695774769,48.50431482,5.69464323,15.75571498,0.811036893,0.785139104,0.400572808,1130.731652
1398,success,0.907607995,0.648651287,1.243622299,37.04381989,9.468789901,24.59722674,0.477083393,0.815741073,0.257377517,1463.671307
1399,success,0.740661057,0.731811958,1.653757805,38.96004112,14.3783621,24.33719398,0.580690223,0.85042955,0.268383863,1537.277552
1400,success,0.733696602,0.532544801,1.155812306,44.15646933,11.00370635,21.9864389,0.53105516,0.8101111,0.253163957,1328.939013
1401,success,0.887456484,0.641367984,1.295047037,46.06579604,8.316048555,16.76373461,0.308681289,0.854003647,0.190283159,2150.611446
1402,success,0.743308914,0.643759796,1.41049441,44.68468115,12.79765633,24.49275047,0.535910939,0.849793335,0.253834973,1497.975102
1403,success,0.560966085,0.49818543,1.048276503,35.24378464,5.908843124,22.12991415,0.720123898,0.721377866,0.238723104,1211.707947
1404,success,0.740863693,0.66419071,1.766067654,43.14637662,7.913528139,15.62630448,0.575991603,0.852640004,0.29691723,1589.906877
1405,success,0.524453653,0.626243483,1.958024471,46.01592349,13.4249285,18.52101109,0.758877321,0.841800452,0.275751874,1570.145187
1406,success,0.903952763,0.528499601,1.235333175,47.28769256,8.502658839,24.85463803,0.546312271,0.824525485,0.310459794,1249.026821
1407,success,0.563158725,0.497129427,1.118429444,41.37437625,12.52642256,18.33391755,0.60057617,0.777666915,0.229342799,1289.762451
1408,success,0.858473294,0.456892758,1.768211856,49.24745489,13.29854286,17.03228343,0.703242884,0.822629965,0.431195354,1098.152323
1409,success,0.536839213,0.45884782,1.120572363,46.84318088,10.92813489,21.68978549,0.708918172,0.778753941,0.251440357,1178.329887
1410,success,0.925281462,0.544161498,1.571600574,43.3415195,8.817589366,22.83017046,0.664380585,0.81978069,0.388560584,1166.385202
1411,success,0.805505422,0.592578815,1.914151623,52.54550282,8.7022902,22.1532303,0.702641435,0.864607445,0.377709802,1328.673943
1412,success,0.690383029,0.606875575,1.279489216,44.4888168,14.81818871,16.77424862,0.388232814,0.841030197,0.189866195,1833.801181
1413,success,0.555991813,0.765698873,1.766589631,46.65529447,13.89013321,16.08283554,0.437000416,0.885685928,0.174453458,2387.594115
1414,success,0.604219047,0.411061877,1.495878816,40.75271167,5.67389745,23.44679895,0.89127465,0.699876184,0.325160641,1142.493248
1415,success,0.895817583,0.441411971,1.698551048,39.10442956,12.06185279,20.03714598,0.760693299,0.766739666,0.444988817,1019.943124
1416,success,0.881338149,0.764779199,1.901496558,42.68745042,10.97941749,15.17399648,0.409846279,0.879613829,0.255894214,2009.762819
1417,success,0.831003674,0.841882098,1.871734838,47.46039842,12.28382536,18.48483838,0.311191862,0.903477689,0.179471685,2760.590478
1418,success,0.8059951,0.760941417,1.701245084,36.4915198,9.549106447,17.85602594,0.486760826,0.848706767,0.256890536,1772.371571
1419,success,0.782312518,0.701097888,1.778587147,52.30077681,6.660607176,15.06377412,0.44611453,0.890458215,0.252610815,1974.044419
1420,success,0.53263463,0.602207671,1.282518334,38.27037392,13.18293288,24.12012099,0.683565089,0.793584127,0.225263283,1385.810464
1421,success,0.611470561,0.591862244,1.272448637,53.11877089,10.06818519,20.17515655,0.480995948,0.860313021,0.202587507,1718.598321
1422,success,0.790818453,0.665892816,1.141708949,52.04137763,11.81317979,21.86848591,0.189629739,0.87336605,0.101511332,3448.902645
1423,success,0.969628644,0.458036703,1.789342441,41.27026836,10.11970805,18.3208977,0.728987607,0.78944469,0.473522302,1055.229826
1424,success,0.636742993,0.751129362,1.893895385,41.53655271,11.51549168,22.57833999,0.661119342,0.859353351,0.268340868,1674.829145
1425,success,0.929299301,0.608299246,1.968797279,41.96395263,14.10320848,18.66229496,0.623601103,0.846106889,0.39510834,1295.921356
1426,success,0.603235701,0.47256031,1.608007705,53.36905775,8.975365755,23.20830276,0.834243046,0.810157484,0.333257827,1195.896695
1427,success,0.677774256,0.444561201,1.47969686,38.0583286,13.60900947,15.39824838,0.723018384,0.750509918,0.343073945,1094.648531
1428,success,0.814495956,0.752238715,1.639373323,51.43755297,6.540250468,16.93477689,0.330032968,0.895616759,0.189055895,2512.53631
1429,success,0.735097071,0.606635613,1.359357682,49.91118875,13.33559467,23.28816178,0.492845716,0.859209994,0.240624345,1554.93069
1430,success,0.632440806,0.63400025,1.081298325,47.92211454,13.99200636,17.94422912,0.204849546,0.853387839,0.091276974,3330.107162
1431,success,0.943151113,0.611347836,1.767216663,50.47315791,10.19675643,17.46908786,0.516731494,0.871443862,0.343865575,1480.059911
