problem,individual_id,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,rank,crowding_distance,constraint_violation,is_feasible,pred_recovery,pred_purity,pred_productivity_mol_h_kg,pred_energy_kJ_kgCO2,pred_log_energy,objective_1_score,objective_2_score,is_nondominated
purity_recovery,22,0.5020968020210554,0.4529470394605895,1.9999219494749307,54.997408391796085,8.231016125610877,24.71600694244873,0,0.028467269711945565,0.0,1,0.9164433349050034,0.7853041562980528,0.30526373902099957,1404.4189244984996,3.147496672936504,0.7853041562980528,0.9164433349050034,1
purity_recovery,23,0.5132464864591433,0.5819345625720072,1.9999881053114004,54.99960267847001,6.598473641745661,24.731392731920472,0,0.027708698439699718,0.0,1,0.8629423738979176,0.840080529849067,0.289194838720566,1597.7878249588364,3.2035191075389826,0.840080529849067,0.8629423738979176,1
purity_recovery,24,0.5776809582779933,0.8215247683681621,1.9999942549780032,54.99964563696964,7.967217146143834,24.402980200888095,0,0.02693578514046902,0.0,1,0.5338582917780085,0.9077259098792728,0.20214103198775857,2388.190533123652,3.37806897245033,0.9077259098792728,0.5338582917780085,1
purity_recovery,25,0.5158980648123719,0.5029081747171675,1.9999813513786648,54.99953377862417,7.075428108530044,24.732473055428887,0,0.02675148659518477,0.0,1,0.9017404099308366,0.8088156220795715,0.30567309599251236,1461.4883229525021,3.164795349766974,0.8088156220795715,0.9017404099308366,1
purity_recovery,26,0.5094249557972598,0.6835966358517682,1.9945985062749139,54.96712745942781,6.898359664907194,24.261522168641164,0,0.026725549984757187,0.0,1,0.7679161126451532,0.873669274246393,0.2557791441071554,1834.5828835028015,3.2635373372611016,0.873669274246393,0.7679161126451532,1
purity_recovery,27,0.5009568482549273,0.6718566379007949,1.9999576570549165,54.51383901897806,6.543247090578207,24.84669052908156,0,0.0429163247024743,0.0,1,0.7946933773741958,0.8668528436871406,0.2582228982351148,1816.446840510875,3.2592226924764045,0.8668528436871406,0.7946933773741958,1
purity_recovery,28,0.5117047684131202,0.4535449612664285,1.9999980510517719,54.99613209703446,8.270467267324548,24.959865071506258,0,0.026371169948692017,0.0,1,0.9156966661059742,0.7867766335859007,0.3097657462825442,1390.6301595158293,3.1432116439833426,0.7867766335859007,0.9156966661059742,1
purity_recovery,29,0.5042143595936491,0.700051490129783,1.9999999615095285,54.984565224407035,6.068361585297001,24.99831248626058,0,0.034974419760901806,0.0,1,0.7640680738055716,0.8751275045438951,0.24977053283767933,1904.7734542129874,3.2798433299140686,0.8751275045438951,0.7640680738055716,1
purity_recovery,30,0.5083744180200063,0.7768391019109167,1.9993102217319796,54.974796406980026,6.883329523566017,24.990275900095128,0,0.025241953325081223,0.0,1,0.6531078860815259,0.8945152095178993,0.2159612156776064,2201.5849871409146,3.3427354550619177,0.8945152095178993,0.6531078860815259,1
purity_recovery,31,0.5159017124395222,0.7427113063594193,1.9999797653678597,54.99982118874182,6.595223274634996,24.681140278891327,0,0.025116721608302132,0.0,1,0.6988101767143092,0.8879345995768367,0.2344270674692689,2034.9158400442652,3.3085464524014436,0.8879345995768367,0.6988101767143092,1
purity_recovery,32,0.5776809582779933,0.8147839172315406,1.9999943791075467,54.99964563696964,7.967217146143834,24.402980200888095,0,0.03545444606815791,0.0,1,0.5447558608658779,0.906712470496499,0.20619305808773708,2340.872412664277,3.369377743476253,0.906712470496499,0.5447558608658779,1
purity_recovery,33,0.6052024476205405,0.8174997287581214,1.9999993190308305,54.9948577789106,6.517604049324012,24.99711451210755,0,0.031187823593851194,0.0,1,0.5562015405822572,0.9059731313181985,0.21760621628010263,2284.5037247752102,3.358791870488901,0.9059731313181985,0.5562015405822572,1
purity_recovery,34,0.604488181934634,0.3514981217825806,1.9999667960078678,54.97828955703902,10.05661139324652,24.99562849878623,0,0.024593154684831833,0.0,1,0.9285210143121501,0.7485739470352701,0.3709938885909761,1133.6860431603834,3.0544928000584455,0.7485739470352701,0.9285210143121501,1
purity_recovery,35,0.6547906869674505,0.8496760463548373,1.9999417478733674,54.96473048892959,8.151886896463004,23.98491070496585,0,0.024435282158558353,0.0,1,0.44806034586477816,0.9139684584338027,0.19347032430437092,2571.703771846302,3.4102209418331713,0.9139684584338027,0.44806034586477816,1
purity_recovery,36,0.604488181934634,0.3500605894693348,1.999993867494278,51.19299505417538,9.503164531529405,24.9997589039491,0,0.02439275835698864,0.0,1,0.934315987997198,0.7262119955492075,0.36570270659307774,1126.6163386348512,3.051776045255008,0.7262119955492075,0.934315987997198,1
purity_recovery,37,0.5814590653387881,0.3779091228520165,1.9990871721254027,54.21912036742282,8.901108310115045,24.362076237541462,0,0.024336231019073742,0.0,1,0.9276701463764362,0.7543357725242842,0.3560487898356743,1192.6756807466595,3.076522363862508,0.7543357725242842,0.9276701463764362,1
purity_recovery,38,0.5635424071357729,0.8047984906426792,1.9999954697501074,54.96398892784498,6.23110918007804,24.739987058793197,0,0.024072628516015746,0.0,1,0.5941644420060203,0.9021619584577406,0.2170274012843152,2260.0899043968984,3.3541257153451327,0.9021619584577406,0.5941644420060203,1
purity_recovery,39,0.5940291198737853,0.8484116857396633,1.9999975118213373,54.91926596328773,7.80307032326933,24.52137079778962,0,0.023847174711887808,0.0,1,0.4879661801175782,0.9115656048980763,0.18978074322386285,2566.008361797942,3.409258067267588,0.9115656048980763,0.4879661801175782,1
